ngram,noun,adjective,year,count
wellbeing_noun=>health_adj,wellbeing,health,1996,1
wellbeing_noun=>health_adj,wellbeing,health,1997,1
wellbeing_noun=>health_adj,wellbeing,health,2008,1
wellbeing_noun=>health_adj,wellbeing,health,2011,3
wellbeing_noun=>health_adj,wellbeing,health,2013,1
wellbeing_noun=>health_adj,wellbeing,health,2014,2
wellbeing_noun=>health_adj,wellbeing,health,2015,3
wellbeing_noun=>health_adj,wellbeing,health,2016,5
wellbeing_noun=>health_adj,wellbeing,health,2017,4
wellbeing_noun=>health_adj,wellbeing,health,2018,9
wellbeing_noun=>health_adj,wellbeing,health,2019,14
wellbeing_noun=>somatic_adj,wellbeing,somatic,1903,5
wellbeing_noun=>somatic_adj,wellbeing,somatic,1913,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,1934,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,1945,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,1949,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1951,4
wellbeing_noun=>somatic_adj,wellbeing,somatic,1964,6
wellbeing_noun=>somatic_adj,wellbeing,somatic,1965,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,1967,5
wellbeing_noun=>somatic_adj,wellbeing,somatic,1968,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1979,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1980,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1982,3
wellbeing_noun=>somatic_adj,wellbeing,somatic,1984,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1986,4
wellbeing_noun=>somatic_adj,wellbeing,somatic,1987,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,1992,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1993,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,1995,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1997,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,1998,5
wellbeing_noun=>somatic_adj,wellbeing,somatic,1999,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,2000,3
wellbeing_noun=>somatic_adj,wellbeing,somatic,2002,3
wellbeing_noun=>somatic_adj,wellbeing,somatic,2004,1
wellbeing_noun=>somatic_adj,wellbeing,somatic,2008,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,2009,4
wellbeing_noun=>somatic_adj,wellbeing,somatic,2011,5
wellbeing_noun=>somatic_adj,wellbeing,somatic,2013,6
wellbeing_noun=>somatic_adj,wellbeing,somatic,2015,2
wellbeing_noun=>somatic_adj,wellbeing,somatic,2016,5
wellbeing_noun=>somatic_adj,wellbeing,somatic,2017,6
wellbeing_noun=>somatic_adj,wellbeing,somatic,2018,3
wellbeing_noun=>somatic_adj,wellbeing,somatic,2019,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1859,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1861,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1905,13
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1906,11
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1911,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1920,6
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1934,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1958,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1960,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1961,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1963,3
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1967,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1968,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1971,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1975,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1983,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,1997,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2001,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2006,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2007,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2008,3
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2010,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2014,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2015,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2017,1
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2018,2
wellbeing_noun=>marvelous_adj,wellbeing,marvelous,2019,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1873,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1891,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1900,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1901,3
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1909,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1912,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1915,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1916,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1919,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1920,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1925,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1927,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1934,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1950,3
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1951,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1956,3
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1961,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1970,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,1971,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,2001,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,2002,1
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,2004,5
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,2008,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,2012,2
wellbeing_noun=>hygienic_adj,wellbeing,hygienic,2014,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1929,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1934,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1950,7
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1951,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1952,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1954,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1956,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1958,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1959,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1962,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1968,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1973,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1975,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1979,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1982,6
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1988,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1990,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1996,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1998,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,1999,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,2011,2
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,2013,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,2014,1
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,2017,3
wellbeing_noun=>unparalleled_adj,wellbeing,unparalleled,2018,3
wellbeing_noun=>current_adj,wellbeing,current,1882,3
wellbeing_noun=>current_adj,wellbeing,current,1898,2
wellbeing_noun=>current_adj,wellbeing,current,1923,1
wellbeing_noun=>current_adj,wellbeing,current,1952,1
wellbeing_noun=>current_adj,wellbeing,current,1953,1
wellbeing_noun=>current_adj,wellbeing,current,1954,1
wellbeing_noun=>current_adj,wellbeing,current,1958,1
wellbeing_noun=>current_adj,wellbeing,current,1960,5
wellbeing_noun=>current_adj,wellbeing,current,1962,3
wellbeing_noun=>current_adj,wellbeing,current,1963,7
wellbeing_noun=>current_adj,wellbeing,current,1965,1
wellbeing_noun=>current_adj,wellbeing,current,1966,3
wellbeing_noun=>current_adj,wellbeing,current,1967,1
wellbeing_noun=>current_adj,wellbeing,current,1968,7
wellbeing_noun=>current_adj,wellbeing,current,1969,4
wellbeing_noun=>current_adj,wellbeing,current,1971,6
wellbeing_noun=>current_adj,wellbeing,current,1972,4
wellbeing_noun=>current_adj,wellbeing,current,1973,3
wellbeing_noun=>current_adj,wellbeing,current,1974,1
wellbeing_noun=>current_adj,wellbeing,current,1975,4
wellbeing_noun=>current_adj,wellbeing,current,1976,34
wellbeing_noun=>current_adj,wellbeing,current,1977,1
wellbeing_noun=>current_adj,wellbeing,current,1978,12
wellbeing_noun=>current_adj,wellbeing,current,1979,5
wellbeing_noun=>current_adj,wellbeing,current,1980,10
wellbeing_noun=>current_adj,wellbeing,current,1981,13
wellbeing_noun=>current_adj,wellbeing,current,1982,14
wellbeing_noun=>current_adj,wellbeing,current,1983,10
wellbeing_noun=>current_adj,wellbeing,current,1984,11
wellbeing_noun=>current_adj,wellbeing,current,1985,4
wellbeing_noun=>current_adj,wellbeing,current,1986,3
wellbeing_noun=>current_adj,wellbeing,current,1987,2
wellbeing_noun=>current_adj,wellbeing,current,1988,19
wellbeing_noun=>current_adj,wellbeing,current,1989,5
wellbeing_noun=>current_adj,wellbeing,current,1990,11
wellbeing_noun=>current_adj,wellbeing,current,1991,6
wellbeing_noun=>current_adj,wellbeing,current,1992,12
wellbeing_noun=>current_adj,wellbeing,current,1993,23
wellbeing_noun=>current_adj,wellbeing,current,1994,13
wellbeing_noun=>current_adj,wellbeing,current,1995,14
wellbeing_noun=>current_adj,wellbeing,current,1996,10
wellbeing_noun=>current_adj,wellbeing,current,1997,16
wellbeing_noun=>current_adj,wellbeing,current,1998,35
wellbeing_noun=>current_adj,wellbeing,current,1999,24
wellbeing_noun=>current_adj,wellbeing,current,2000,68
wellbeing_noun=>current_adj,wellbeing,current,2001,40
wellbeing_noun=>current_adj,wellbeing,current,2002,35
wellbeing_noun=>current_adj,wellbeing,current,2003,29
wellbeing_noun=>current_adj,wellbeing,current,2004,49
wellbeing_noun=>current_adj,wellbeing,current,2005,32
wellbeing_noun=>current_adj,wellbeing,current,2006,43
wellbeing_noun=>current_adj,wellbeing,current,2007,45
wellbeing_noun=>current_adj,wellbeing,current,2008,39
wellbeing_noun=>current_adj,wellbeing,current,2009,30
wellbeing_noun=>current_adj,wellbeing,current,2010,62
wellbeing_noun=>current_adj,wellbeing,current,2011,47
wellbeing_noun=>current_adj,wellbeing,current,2012,59
wellbeing_noun=>current_adj,wellbeing,current,2013,61
wellbeing_noun=>current_adj,wellbeing,current,2014,78
wellbeing_noun=>current_adj,wellbeing,current,2015,71
wellbeing_noun=>current_adj,wellbeing,current,2016,91
wellbeing_noun=>current_adj,wellbeing,current,2017,65
wellbeing_noun=>current_adj,wellbeing,current,2018,77
wellbeing_noun=>current_adj,wellbeing,current,2019,72
wellbeing_noun=>artistic_adj,wellbeing,artistic,1861,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,1898,3
wellbeing_noun=>artistic_adj,wellbeing,artistic,1906,3
wellbeing_noun=>artistic_adj,wellbeing,artistic,1915,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1917,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1923,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,1938,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1948,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,1955,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1960,3
wellbeing_noun=>artistic_adj,wellbeing,artistic,1963,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1964,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1965,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,1974,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1976,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1978,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1983,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,1984,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,1988,5
wellbeing_noun=>artistic_adj,wellbeing,artistic,1991,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1993,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1995,3
wellbeing_noun=>artistic_adj,wellbeing,artistic,1998,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,1999,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,2000,5
wellbeing_noun=>artistic_adj,wellbeing,artistic,2002,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,2006,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,2008,7
wellbeing_noun=>artistic_adj,wellbeing,artistic,2010,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,2013,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,2014,2
wellbeing_noun=>artistic_adj,wellbeing,artistic,2015,1
wellbeing_noun=>artistic_adj,wellbeing,artistic,2016,3
wellbeing_noun=>artistic_adj,wellbeing,artistic,2017,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1882,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1898,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1906,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1911,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1915,5
wellbeing_noun=>continuous_adj,wellbeing,continuous,1921,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1923,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1924,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1927,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1932,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1936,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1937,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1938,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1939,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1945,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1948,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1952,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1953,4
wellbeing_noun=>continuous_adj,wellbeing,continuous,1955,6
wellbeing_noun=>continuous_adj,wellbeing,continuous,1961,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1969,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1973,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1977,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1979,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1983,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1988,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1991,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1993,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,1996,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,1997,3
wellbeing_noun=>continuous_adj,wellbeing,continuous,2002,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,2003,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,2005,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,2006,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,2007,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,2010,3
wellbeing_noun=>continuous_adj,wellbeing,continuous,2011,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,2012,1
wellbeing_noun=>continuous_adj,wellbeing,continuous,2013,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,2014,2
wellbeing_noun=>continuous_adj,wellbeing,continuous,2015,3
wellbeing_noun=>continuous_adj,wellbeing,continuous,2017,4
wellbeing_noun=>continuous_adj,wellbeing,continuous,2018,4
wellbeing_noun=>continuous_adj,wellbeing,continuous,2019,7
wellbeing_noun=>australian_adj,wellbeing,australian,1921,1
wellbeing_noun=>australian_adj,wellbeing,australian,1971,3
wellbeing_noun=>australian_adj,wellbeing,australian,1977,2
wellbeing_noun=>australian_adj,wellbeing,australian,1978,1
wellbeing_noun=>australian_adj,wellbeing,australian,1979,2
wellbeing_noun=>australian_adj,wellbeing,australian,1980,1
wellbeing_noun=>australian_adj,wellbeing,australian,1983,3
wellbeing_noun=>australian_adj,wellbeing,australian,1984,1
wellbeing_noun=>australian_adj,wellbeing,australian,1985,1
